"vtkValidPointMask",t,"Point Coordinates:0",y,"Point Coordinates:2"
1,0,0,0,0
1,0.010000000000000000208,0,-0.00065399997401982545853,0
1,0.020000000000000000416,0,-0.0022889999672770500183,0
1,0.030000000000000002359,0,-0.0049049998633563518524,0
1,0.040000000000000000833,0,-0.0085020000115036964417,0
1,0.049999999999999995837,0,-0.013079999946057796478,0
1,0.059999999999999990841,0,-0.01863900013267993927,0
1,0.069999999999999992784,0,-0.025179000571370124817,0
1,0.080000000000000001665,0,-0.032699998468160629272,0
1,0.090000000000000010547,0,-0.041202001273632049561,0
1,0.10000000000000001943,0,-0.050684999674558639526,0
1,0.11000000000000002831,0,-0.061149001121520996094,0
1,0.12000000000000003719,0,-0.072594001889228820801,0
1,0.1300000000000000322,0,-0.085019998252391815186,0
1,0.14000000000000004108,0,-0.098426997661590576172,0
1,0.15000000000000004996,0,-0.11281500011682510376,0
1,0.16000000000000005884,0,-0.12818400561809539795,0
1,0.17000000000000006772,0,-0.14453400671482086182,0
1,0.18000000000000007661,0,-0.16186499595642089844,0
1,0.19000000000000008549,0,-0.18017700314521789551,0
1,0.20000000000000009437,0,-0.19946999847888946533,0
1,0.21000000000000010325,0,-0.21974399685859680176,0
1,0.21970826658900063921,0,-0.24036039412021636963,0
1,0.22898755323279312845,0,-0.26092353463172912598,0
1,0.23789081437038644973,0,-0.28144192695617675781,0
1,0.24646086357168045522,0,-0.30192226171493530273,0
1,0.25473291112578294593,0,-0.32236978411674499512,0
1,0.26273633704621074392,0,-0.3427886962890625,0
1,0.27049596407995268876,0,-0.36318248510360717773,0
1,0.27803299329450881228,0,-0.38355401158332824707,0
1,0.28536570571662978058,0,-0.40390565991401672363,0
1,0.29250999791029164143,0,-0.4242394566535949707,0
1,0.29947979722742601449,0,-0.4445571601390838623,0
1,0.30628738826550161445,0,-0.4648602604866027832,0
1,0.31294367272838929939,0,-0.4851500093936920166,0
1,0.31945837860473902392,0,-0.50542759895324707031,0
1,0.32584023026439645765,0,-0.52569395303726196289,0
1,0.33209708805643711749,0,-0.5459499359130859375,0
1,0.33823606384698556848,0,-0.566196441650390625,0
1,0.34426361738607957896,0,-0.5864340662956237793,0
1,0.35018563725901818984,0,-0.6066634058952331543,0
1,0.35600750933706160062,0,-0.62688505649566650391,0
1,0.3617341750118574506,0,-0.64709955453872680664,0
1,0.3673701810199248019,0,-0.66730731725692749023,0
1,0.3729197222974176551,0,-0.68750870227813720703,0
1,0.37838667902239386809,0,-0.70770418643951416016,0
1,0.38377464878115341573,0,-0.72789400815963745117,0
1,0.38908697462176067283,0,-0.74807858467102050781,0
1,0.39432676962048041069,0,-0.76825815439224243164,0
1,0.39949693847726963636,0,-0.78843295574188232422,0
1,0.40460019656846046843,0,-0.8086032867431640625,0
1,0.4096390868136488006,0,-0.82876932621002197266,0
1,0.41461599465598453218,0,-0.84893131256103515625,0
1,0.41953316140779228771,0,-0.86908948421478271484,0
1,0.42439269617460051442,0,-0.88924390077590942383,0
1,0.42919658653856507247,0,-0.90939486026763916016,0
1,0.433946708155636518,0,-0.92954242229461669922,0
1,0.43864483339860738109,0,-0.94968676567077636719,0
1,0.44329263915957817233,0,-0.96982800960540771484,0
1,0.44789171390973703257,0,-0.98996639251708984375,0
1,0.45244356410114505707,0,-1.0101019144058227539,0
1,0.45694961998402716663,0,-1.0302346944808959961,0
1,0.46141124090355301046,0,-1.0503648519515991211,0
1,0.46582972013196921601,0,-1.0704925060272216797,0
1,0.47020628928499053067,0,-1.0906177759170532227,0
1,0.47454212236538229064,0,-1.1107407808303833008,0
1,0.47883833947152221189,0,-1.1308614015579223633,0
1,0.4830960102042797244,0,-1.1509799957275390625,0
1,0.48731615680169837468,0,-1.1710964441299438477,0
1,0.49149975702761850016,0,-1.1912109851837158203,0
1,0.49564774683745993489,0,-1.2113234996795654297,0
1,0.49976102284183709923,0,-1.2314341068267822266,0
1,0.50384044458644827724,0,-1.2515429258346557617,0
1,0.50788683666472522749,0,-1.2716500759124755859,0
1,0.51190099067800576282,0,-1.2917554378509521484,0
1,0.51588366705647847876,0,-1.311859130859375,0
1,0.51983559675280466283,0,-1.3319612741470336914,0
1,0.52375748281914036308,0,-1.3520618677139282227,0
1,0.5276500018772291023,0,-1.3721610307693481445,0
1,0.53151380549030002864,0,-1.3922586441040039062,0
1,0.53534952144467584656,0,-1.4123548269271850586,0
1,0.5391577549482539089,0,-1.4324496984481811523,0
1,0.54293908975236104819,0,-1.4525432586669921875,0
1,0.54669408920288875553,0,-1.4726353883743286133,0
1,0.55042329722608640541,0,-1.4927263259887695312,0
1,0.55412723925391216273,0,-1.5128160715103149414,0
1,0.55780642309341288421,0,-1.5329046249389648438,0
1,0.56146133974421796875,0,-1.5529919862747192383,0
1,0.56509246416788505574,0,-1.5730782747268676758,0
1,0.56870025601252105485,0,-1.5931633710861206055,0
1,0.57228516029581577573,0,-1.6132473945617675781,0
1,0.57584760804937318301,0,-1.6333303451538085938,0
1,0.57938801692698593815,0,-1.6534123420715332031,0
1,0.58290679177929194399,0,-1.6734933853149414062,0
1,0.58640432519705665282,0,-1.6935733556747436523,0
1,0.58988099802515192582,0,-1.7136523723602294922,0
1,0.5933371798491394733,0,-1.7337305545806884766,0
1,0.59677322945622546246,0,-1.7538077831268310547,0
1,0.60018949527221698848,0,-1.7738840579986572266,0
1,0.60358631577599053397,0,-1.793959498405456543,0
1,0.60696401989287240841,0,-1.8140341043472290039,0
1,0.61032292736822812973,0,-1.8341078758239746094,0
1,0.61366334912246467415,0,-1.8541809320449829102,0
1,0.61698558758856425488,0,-1.8742530345916748047,0
1,0.62028993703318968667,0,-1.8943245410919189453,0
1,0.62357668386232789626,0,-1.9143950939178466797,0
