"vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
1,0,0,0,0
1,0.010000000000000000208,0,-0.00096599146490916609764,0
1,0.020000000000000000416,0,-0.0028824184555560350418,0
1,0.025175928277524673576,0,-0.0041344016790390014648,0
1,0.029294278259524689917,0,-0.0052946656942367553711,0
1,0.033412628241524702788,0,-0.006605428643524646759,0
1,0.036913412063943329411,0,-0.0078240139409899711609,0
1,0.040016681112314544944,0,-0.0089876493439078330994,0
1,0.042835481005050274339,0,-0.010114490985870361328,0
1,0.045437393877847676027,0,-0.011215004138648509979,0
1,0.047866757159963260748,0,-0.012295858003199100494,0
1,0.050154564651567742906,0,-0.013361605815589427948,0
1,0.05232350997495263667,0,-0.01441550813615322113,0
1,0.054390808416246411161,0,-0.015459953807294368744,0
1,0.056458106857540185652,0,-0.016541427001357078552,0
1,0.058437038245841982365,0,-0.017610918730497360229,0
1,0.060338356211575128185,0,-0.018670491874217987061,0
1,0.062170803150726469677,0,-0.019721800461411476135,0
1,0.063941600213584595669,0,-0.020766183733940124512,0
1,0.065656793512511482658,0,-0.021804748103022575378,0
1,0.067321505061607680998,0,-0.022838406264781951904,0
1,0.068940118701153671465,0,-0.023867923766374588013,0
1,0.07051642050742605583,0,-0.024893950670957565308,0
1,0.072053706623065635894,0,-0.025916643440723419189,0
1,0.073590992738705215959,0,-0.026960005983710289001,0
1,0.075091307178794461374,0,-0.027998182922601699829,0
1,0.076557334143903657542,0,-0.029031874611973762512,0
1,0.077991449248065738975,0,-0.030061691999435424805,0
1,0.079395766667518116733,0,-0.031088162213563919067,0
1,0.080772177433993133655,0,-0.032111745327711105347,0
1,0.082122380824372939734,0,-0.033132843673229217529,0
1,0.08344791030928851161,0,-0.034151807427406311035,0
1,0.084750155170370142232,0,-0.035168923437595367432,0
1,0.086052400031451772855,0,-0.036201063543558120728,0
1,0.087332025472545662947,0,-0.037229701876640319824,0
1,0.088590260769505005389,0,-0.03825526311993598938,0
1,0.089828227457293144398,0,-0.039278134703636169434,0
1,0.091046951953195884299,0,-0.04029865562915802002,0
1,0.092247376352371776576,0,-0.041317127645015716553,0
1,0.093430367708441805497,0,-0.042333818972110748291,0
1,0.094596726050508186945,0,-0.043348968029022216797,0
1,0.09574719134014957056,0,-0.044362790882587432861,0
1,0.096882449534308370809,0,-0.045375432819128036499,0
1,0.098017707728467171058,0,-0.046399444341659545898,0
1,0.099137923797073798649,0,-0.047420978546142578125,0
1,0.1002437428294189331,0,-0.048440326005220413208,0
1,0.10133576435278988936,0,-0.049457747489213943481,0
1,0.10241454665065675977,0,-0.050473477691411972046,0
1,0.10348061057489076064,0,-0.051487725228071212769,0
1,0.10453444292224119139,0,-0.052500687539577484131,0
1,0.10557649943408049797,0,-0.053512528538703918457,0
1,0.10660720746922745794,0,-0.054523404687643051147,0
1,0.10762696839207457067,0,-0.055533397942781448364,0
1,0.1086467293149216834,0,-0.056552525609731674194,0
1,0.10965556152464477069,0,-0.057569742202758789062,0
1,0.11065385589940611444,0,-0.058585271239280700684,0
1,0.11164197975368096716,0,-0.059599302709102630615,0
1,0.11262027875214260242,0,-0.060612022876739501953,0
1,0.1135890786318029394,0,-0.06162359192967414856,0
1,0.11454868675514277843,0,-0.062634155154228210449,0
1,0.11549939351385933584,0,-0.063643842935562133789,0
1,0.11644147360023195115,0,-0.064652785658836364746,0
1,0.11737518716087656789,0,-0.06566098332405090332,0
1,0.11830890072152118464,0,-0.06667684018611907959,0
1,0.11923421136253699315,0,-0.067691147327423095703,0
1,0.12015137878569485952,0,-0.068704083561897277832,0
1,0.12106064881475488149,0,-0.069715805351734161377,0
1,0.12196225439994638762,0,-0.070726454257965087891,0
1,0.12285641653308231047,0,-0.071736164391040802002,0
1,0.12374334508268818034,0,-0.072745047509670257568,0
1,0.12462323955739142145,0,-0.073753230273723602295,0
1,0.12549628980483779062,0,-0.074760794639587402344,0
1,0.12636267665255423998,0,-0.075767718255519866943,0
1,0.12722906350027068934,0,-0.076781235635280609131,0
1,0.1280887292134510469,0,-0.077793449163436889648,0
1,0.12894185778558980848,0,-0.078804507851600646973,0
1,0.12978862425833131988,0,-0.079814545810222625732,0
1,0.13062919531525868377,0,-0.080823682248592376709,0
1,0.13146372982746540314,0,-0.08183202892541885376,0
1,0.13229237935550819394,0,-0.082839682698249816895,0
1,0.13311528861183513639,0,-0.083846740424633026123,0
1,0.13393259588734163223,0,-0.084853284060955047607,0
1,0.13474443344531850109,0,-0.085859254002571105957,0
1,0.13555627100329536994,0,-0.086871005594730377197,0
1,0.13636257370155269175,0,-0.087881647050380706787,0
1,0.13716347821437818721,0,-0.088891290128231048584,0
1,0.13795911504130997649,0,-0.089900054037570953369,0
1,0.1387496088903336644,0,-0.090908035635948181152,0
1,0.13953507903209361185,0,-0.091915339231491088867,0
1,0.14031563962767978904,0,-0.092922046780586242676,0
1,0.14109140003229120319,0,-0.09392824023962020874,0
1,0.14186246507684824314,0,-0.094933986663818359375,0
1,0.14262893532942128028,0,-0.095939211547374725342,0
1,0.14339540558199431741,0,-0.096949607133865356445,0
1,0.14415721469155245993,0,-0.09795901179313659668,0
1,0.1449144679371808242,0,-0.098967544734477996826,0
1,0.14566726611459107632,0,-0.099975310266017913818,0
1,0.14641570580049828587,0,-0.10098238289356231689,0
1,0.14715987959808302099,0,-0.10198886692523956299,0
1,0.14789987636510948388,0,-0.10299482196569442749,0
1,0.14863578142612160482,0,-0.10400032252073287964,0
1,0.14936767677000634125,0,-0.10500543564558029175,0
