# Created by Octave 3.6.2, Mon Nov 19 02:15:14 2012 CET <pablo@pablo-hp>
# name: A
# type: matrix
# rows: 51
# columns: 2
 x u
 0 1
 0.002 0.9768080532718243
 0.004 0.9533586478354462
 0.006 0.9293979074968213
 0.008 0.9046790945169508
 0.01 0.878966110958261
 0.012 0.8520369146576272
 0.014 0.8236868152472806
 0.016 0.7937316111813671
 0.018 0.7620105240635354
 0.02 0.7283888822288538
 0.022 0.6927605020498334
 0.024 0.6550497133312412
 0.026 0.6152129748960622
 0.028 0.5732400284200012
 0.03 0.5291545429996606
 0.032 0.4830142099538277
 0.034 0.4349102569163708
 0.036 0.3849663621815029
 0.038 0.3333369641517257
 0.04 0.2802049761211447
 0.042 0.2257789328936032
 0.044 0.1702896121961831
 0.046 0.113986189770768
 0.048 0.05713200167450303
 0.05 1.674115380918304e-17
 0.052 -0.057132001674503
 0.054 -0.1139861897707677
 0.056 -0.1702896121961827
 0.058 -0.225778932893603
 0.06 -0.2802049761211445
 0.062 -0.3333369641517255
 0.064 -0.384966362181503
 0.066 -0.4349102569163708
 0.068 -0.4830142099538278
 0.07000000000000001 -0.5291545429996607
 0.07200000000000001 -0.5732400284200013
 0.074 -0.615212974896062
 0.076 -0.655049713331241
 0.078 -0.6927605020498332
 0.08 -0.7283888822288536
 0.082 -0.7620105240635354
 0.08400000000000001 -0.7937316111813671
 0.08600000000000001 -0.8236868152472807
 0.08799999999999999 -0.8520369146576271
 0.09 -0.8789661109582608
 0.092 -0.9046790945169507
 0.094 -0.9293979074968213
 0.096 -0.9533586478354461
 0.098 -0.9768080532718244
 0.1 -1


