# Created by Octave 3.6.2, Mon Nov 19 02:07:44 2012 CET <pablo@pablo-hp>
# name: A
# type: matrix
# rows: 51
# columns: 2
 x u
 0 1
 0.002 0.9999999999999998
 0.004 1
 0.006 0.9999999999999999
 0.008 0.9999999999999993
 0.01 0.9999999999999949
 0.012 0.9999999999998928
 0.014 0.9999999999980949
 0.016 0.9999999999707043
 0.018 0.9999999996122676
 0.02 0.9999999955813839
 0.022 0.9999999566245583
 0.024 0.9999996330446369
 0.026 0.9999973230349938
 0.028 0.9999831488167085
 0.03 0.9999083911544184
 0.032 0.9995694682599778
 0.034 0.9982486257649732
 0.036 0.9938235441360734
 0.038 0.9810789624360662
 0.04 0.9495233627045929
 0.042 0.8823518978601635
 0.044 0.7594212822230938
 0.046 0.5659975600099723
 0.048 0.3043361833974007
 0.05 2.65562070005581e-16
 0.052 -0.3043361833974001
 0.054 -0.5659975600099716
 0.056 -0.7594212822230925
 0.058 -0.8823518978601638
 0.06 -0.9495233627045926
 0.062 -0.9810789624360663
 0.064 -0.9938235441360737
 0.066 -0.9982486257649733
 0.068 -0.9995694682599785
 0.07000000000000001 -0.9999083911544187
 0.07200000000000001 -0.9999831488167087
 0.074 -0.9999973230349938
 0.076 -0.9999996330446367
 0.078 -0.9999999566245585
 0.08 -0.9999999955813839
 0.082 -0.9999999996122676
 0.08400000000000001 -0.9999999999707043
 0.08600000000000001 -0.9999999999980953
 0.08799999999999999 -0.9999999999998934
 0.09 -0.9999999999999947
 0.092 -0.9999999999999991
 0.094 -1
 0.096 -1
 0.098 -1
 0.1 -0.9999999999999999


