# Created by Octave 3.6.2, Mon Nov 19 02:05:29 2012 CET <pablo@pablo-hp>
# name: A
# type: matrix
# rows: 51
# columns: 2
 x u
 0 1
 0.002 0.9999999999999994
 0.004 1
 0.006 1.000000000000001
 0.008 1.000000000000001
 0.01 1
 0.012 1
 0.014 1.000000000000001
 0.016 1.000000000000001
 0.018 0.9999999999999996
 0.02 0.9999999999999996
 0.022 1.000000000000001
 0.024 1.000000000000001
 0.026 0.9999999999999998
 0.028 0.9999999999999992
 0.03 0.9999999999999999
 0.032 1
 0.034 0.9999999999999998
 0.036 1
 0.038 0.9999999999998849
 0.04 0.9999999993793955
 0.042 0.9999992505301121
 0.044 0.9997936101919686
 0.046 0.9866406290133577
 0.048 0.7839208527608474
 0.05 1.004745117153788e-15
 0.052 -0.7839208527608468
 0.054 -0.9866406290133577
 0.056 -0.999793610191969
 0.058 -0.9999992505301123
 0.06 -0.9999999993793955
 0.062 -0.9999999999998855
 0.064 -1
 0.066 -1
 0.068 -1
 0.07000000000000001 -0.9999999999999997
 0.07200000000000001 -0.9999999999999994
 0.074 -1
 0.076 -0.9999999999999997
 0.078 -1
 0.08 -0.9999999999999996
 0.082 -0.9999999999999998
 0.08400000000000001 -1.000000000000001
 0.08600000000000001 -1.000000000000001
 0.08799999999999999 -1.000000000000001
 0.09 -1
 0.092 -0.9999999999999996
 0.094 -1.000000000000001
 0.096 -1
 0.098 -1
 0.1 -1


