# Created by Octave 3.6.2, Mon Nov 19 02:10:06 2012 CET <pablo@pablo-hp>
# name: A
# type: matrix
# rows: 51
# columns: 2
 x u
 0 1
 0.002 0.9983095990632623
 0.004 0.9963988484472016
 0.006 0.9940331997028889
 0.008 0.9909502222429667
 0.01 0.9868470188213887
 0.012 0.9813694450933581
 0.014 0.9741039865376718
 0.016 0.9645732821556047
 0.018 0.952236363614783
 0.02 0.9364946546945131
 0.022 0.9167046085759366
 0.024 0.8921975228740764
 0.026 0.8623065587785581
 0.028 0.8264003230726401
 0.03 0.7839216022306198
 0.032 0.7344290469486646
 0.034 0.6776388955508167
 0.036 0.6134633070386627
 0.038 0.5420416530470205
 0.04 0.463761270980683
 0.042 0.379264744181601
 0.044 0.2894417309920311
 0.046 0.1954046367260829
 0.048 0.09844888188541243
 0.05 5.720569758630851e-17
 0.052 -0.0984488818854123
 0.054 -0.1954046367260826
 0.056 -0.2894417309920305
 0.058 -0.3792647441816009
 0.06 -0.4637612709806827
 0.062 -0.5420416530470202
 0.064 -0.6134633070386628
 0.066 -0.6776388955508167
 0.068 -0.7344290469486646
 0.07000000000000001 -0.7839216022306198
 0.07200000000000001 -0.8264003230726403
 0.074 -0.862306558778558
 0.076 -0.8921975228740762
 0.078 -0.9167046085759364
 0.08 -0.936494654694513
 0.082 -0.952236363614783
 0.08400000000000001 -0.9645732821556047
 0.08600000000000001 -0.9741039865376721
 0.08799999999999999 -0.9813694450933583
 0.09 -0.9868470188213885
 0.092 -0.9909502222429667
 0.094 -0.9940331997028889
 0.096 -0.9963988484472016
 0.098 -0.9983095990632623
 0.1 -1


