# Created by Octave 3.6.2, Mon Nov 19 02:17:18 2012 CET <pablo@pablo-hp>
# name: A
# type: matrix
# rows: 51
# columns: 2
 x u
 0 1
 0.002 0.9701090359044817
 0.004 0.9400596139602491
 0.006 0.9096957144967035
 0.008 0.8788661595671318
 0.01 0.8474269475361067
 0.012 0.8152434850053796
 0.014 0.7821926833338815
 0.016 0.7481648883284292
 0.018 0.7130656133952118
 0.02 0.6768170485786923
 0.022 0.6393593205009909
 0.024 0.6006514812698549
 0.026 0.5606722079536621
 0.028 0.5194201982186418
 0.03 0.4769142521592943
 0.032 0.4331930351803062
 0.034 0.3883145219386342
 0.036 0.3423551267391541
 0.038 0.2954085312891421
 0.04 0.247584226233352
 0.042 0.1990057882788812
 0.044 0.1498089198374795
 0.046 0.10013928282215
 0.048 0.05015016239991264
 0.05 9.918011136703905e-18
 0.052 -0.05015016239991262
 0.054 -0.1001392828221498
 0.056 -0.1498089198374792
 0.058 -0.1990057882788811
 0.06 -0.2475842262333518
 0.062 -0.2954085312891419
 0.064 -0.3423551267391542
 0.066 -0.3883145219386342
 0.068 -0.4331930351803063
 0.07000000000000001 -0.4769142521592944
 0.07200000000000001 -0.5194201982186419
 0.074 -0.5606722079536619
 0.076 -0.6006514812698547
 0.078 -0.6393593205009906
 0.08 -0.6768170485786922
 0.082 -0.7130656133952118
 0.08400000000000001 -0.7481648883284292
 0.08600000000000001 -0.7821926833338815
 0.08799999999999999 -0.8152434850053795
 0.09 -0.8474269475361065
 0.092 -0.8788661595671317
 0.094 -0.9096957144967035
 0.096 -0.9400596139602491
 0.098 -0.9701090359044818
 0.1 -1


