# Created by Octave 3.6.2, Mon Nov 19 02:12:28 2012 CET <pablo@pablo-hp>
# name: A
# type: matrix
# rows: 51
# columns: 2
 x u
 0 1
 0.002 0.9871608792076099
 0.004 0.9739525603485796
 0.006 0.9600080212623049
 0.008 0.9449647766405114
 0.01 0.9284675937195029
 0.012 0.9101717025864758
 0.014 0.8897465982666327
 0.016 0.8668804785895921
 0.018 0.8412853012720946
 0.02 0.8127023793329947
 0.022 0.7809083699134479
 0.024 0.7457214520544908
 0.026 0.7070074382032501
 0.028 0.6646855261062898
 0.03 0.6187333756684866
 0.032 0.5691911918400504
 0.034 0.5161645111036223
 0.036 0.4598254258739429
 0.038 0.4004120369404243
 0.04 0.3382259964544898
 0.042 0.273628089093798
 0.044 0.2070318920642464
 0.046 0.1388956499084815
 0.048 0.06971259168206238
 0.05 2.904260696512354e-17
 0.052 -0.06971259168206233
 0.054 -0.1388956499084812
 0.056 -0.207031892064246
 0.058 -0.273628089093798
 0.06 -0.3382259964544895
 0.062 -0.4004120369404241
 0.064 -0.459825425873943
 0.066 -0.5161645111036223
 0.068 -0.5691911918400505
 0.07000000000000001 -0.6187333756684866
 0.07200000000000001 -0.6646855261062899
 0.074 -0.7070074382032498
 0.076 -0.7457214520544906
 0.078 -0.7809083699134477
 0.08 -0.8127023793329946
 0.082 -0.8412853012720946
 0.08400000000000001 -0.8668804785895919
 0.08600000000000001 -0.8897465982666328
 0.08799999999999999 -0.9101717025864758
 0.09 -0.9284675937195027
 0.092 -0.9449647766405113
 0.094 -0.960008021262305
 0.096 -0.9739525603485796
 0.098 -0.98716087920761
 0.1 -1


