# Created by Octave 3.6.2, Mon Nov 19 02:19:30 2012 CET <pablo@pablo-hp>
# name: A
# type: matrix
# rows: 51
# columns: 2
 x u
 0 1
 0.002 0.9660438844087731
 0.004 0.9319925760112717
 0.006 0.8977523755288769
 0.008 0.8632325476695105
 0.01 0.8283467457823104
 0.012 0.7930143686359776
 0.014 0.7571618282352404
 0.016 0.7207237088893859
 0.018 0.6836437993452786
 0.02 0.6458759816768276
 0.022 0.6073849627615073
 0.024 0.5681468365461576
 0.026 0.528149467878391
 0.028 0.4873926914219262
 0.03 0.4458883220452738
 0.032 0.4036599760310182
 0.034 0.3607427054517596
 0.036 0.3171824510503701
 0.038 0.2730353218965436
 0.04 0.2283667129178903
 0.042 0.1832502740715419
 0.044 0.1377667473823269
 0.046 0.09200269027973217
 0.048 0.04604910557555901
 0.05 5.910677463836254e-18
 0.052 -0.046049105575559
 0.054 -0.09200269027973193
 0.056 -0.1377667473823267
 0.058 -0.1832502740715418
 0.06 -0.2283667129178902
 0.062 -0.2730353218965434
 0.064 -0.3171824510503702
 0.066 -0.3607427054517597
 0.068 -0.4036599760310183
 0.07000000000000001 -0.4458883220452739
 0.07200000000000001 -0.4873926914219263
 0.074 -0.5281494678783908
 0.076 -0.5681468365461574
 0.078 -0.6073849627615071
 0.08 -0.6458759816768274
 0.082 -0.6836437993452786
 0.08400000000000001 -0.7207237088893858
 0.08600000000000001 -0.7571618282352404
 0.08799999999999999 -0.7930143686359774
 0.09 -0.8283467457823102
 0.092 -0.8632325476695104
 0.094 -0.8977523755288768
 0.096 -0.9319925760112717
 0.098 -0.9660438844087731
 0.1 -1


