# Created by Octave 3.6.2, Wed Nov 21 20:42:49 2012 CET <pablo@pablo-hp>
# name: A
# type: matrix
# rows: 51
# columns: 2
 x u
 0 1
 0.002 0.9999999599471475
 0.004 0.9999999195762179
 0.006 0.9999998785580014
 0.008 0.9999998365439234
 0.01 0.9999997931491886
 0.012 0.999999747944702
 0.014 0.9999997004294369
 0.016 0.9999996500154644
 0.018 0.9999995959888429
 0.02 0.9999995374691196
 0.022 0.9999994733422939
 0.024 0.9999994021742474
 0.026 0.9999993220687362
 0.028 0.9999992304588515
 0.03 0.999999123768041
 0.032 0.9999989968477204
 0.034 0.9999988419929088
 0.036 0.9999986471141424
 0.038 0.9999983920819883
 0.04 0.9999980406858475
 0.042 0.999997520529742
 0.044 0.9999966627222944
 0.046 0.9999949606356467
 0.048 0.9999898812184909
 0.05 4.122251593758367e-11
 0.052 -0.9999898812184883
 0.054 -0.9999949606354063
 0.056 -0.9999966627222787
 0.058 -0.999997520529687
 0.06 -0.9999980406857317
 0.062 -0.9999983920820055
 0.064 -0.999998647114111
 0.066 -0.9999988419929188
 0.068 -0.9999989968477355
 0.07000000000000001 -0.9999991237680711
 0.07200000000000001 -0.9999992304589103
 0.074 -0.9999993220687876
 0.076 -0.9999994021745185
 0.078 -0.9999994733424415
 0.08 -0.9999995374687257
 0.082 -0.9999995959888841
 0.08400000000000001 -0.9999996500153449
 0.08600000000000001 -0.9999997004293696
 0.08799999999999999 -0.9999997479444455
 0.09 -0.9999997931496972
 0.092 -0.9999998365438018
 0.094 -0.9999998785583235
 0.096 -0.9999999195762077
 0.098 -0.9999999599473355
 0.1 -1.000000000000026


